Name:		lavras12
Optimal value:	11063
#Vehicles:	3
Capacity:	5400
Depot Node:	1231
#Nodes:		1231
#Edges:		1355
#Arcs:		458
#Required N:	0
#Required E:	247
#Required A:	23

ReN.	DEMAND	S. COST

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E5	22	23	28	1	42
E6	23	24	10	1	15
E7	25	26	16	1	24
E8	26	27	10	1	15
E9	27	28	3	1	5
E17	37	38	15	1	23
E18	39	40	24	1	36
E19	41	42	13	1	20
E20	43	27	14	1	21
E22	46	47	19	1	29
E23	48	49	19	1	29
E24	50	26	10	1	15
E25	26	51	21	1	32
E26	23	54	17	1	26
E27	54	55	21	1	32
E28	61	54	10	1	15
E29	54	62	10	1	15
E30	63	64	11	1	17
E31	64	61	11	1	17
E37	70	71	9	1	14
E38	71	49	10	1	15
E39	49	47	10	1	15
E40	47	72	10	1	15
E41	72	62	21	1	32
E43	75	55	10	1	15
E44	55	72	9	1	14
E45	72	66	17	1	26
E46	66	51	10	1	15
E47	51	76	6	1	9
E48	77	75	10	1	15
E203	244	245	18	1	27
E204	246	247	12	1	18
E206	249	250	24	1	36
E207	250	251	2	1	3
E208	252	253	17	1	26
E209	254	255	17	1	26
E214	261	262	12	1	18
E215	262	263	6	1	9
E216	263	264	12	1	18
E217	264	265	12	1	18
E221	267	268	10	1	15
E222	268	269	11	1	17
E223	269	245	3	1	5
E224	245	246	2	1	3
E225	246	253	11	1	17
E226	253	263	12	1	18
E236	275	276	8	1	12
E237	268	244	28	1	42
E238	244	252	13	1	20
E239	252	261	11	1	17
E240	261	280	30	1	45
E243	282	302	3	1	5
E473	616	544	20	1	30
E474	544	545	34	1	51
E475	545	617	12	1	18
E519	659	660	10	1	15
E520	660	661	9	1	14
E521	661	662	10	1	15
E522	662	663	9	1	14
E523	663	664	9	1	14
E524	664	665	9	1	14
E525	666	667	9	1	14
E526	668	660	14	1	21
E527	669	666	8	1	12
E528	666	661	12	1	18
E529	661	670	9	1	14
E530	670	671	10	1	15
E531	672	667	15	1	23
E532	667	662	12	1	18
E533	673	663	32	1	48
E534	674	664	34	1	51
E535	675	665	36	1	54
E536	676	670	20	1	30
E537	572	671	21	1	32
E538	671	677	9	1	14
E539	570	678	16	1	24
E540	678	679	9	1	14
E541	571	678	20	1	30
E542	569	680	7	1	11
E543	680	681	18	1	27
E544	682	683	14	1	21
E545	684	685	12	1	18
E546	685	686	10	1	15
E547	680	682	10	1	15
E548	682	685	9	1	14
E549	677	679	8	1	12
E550	679	681	9	1	14
E551	681	683	10	1	15
E552	683	686	10	1	15
E553	686	687	10	1	15
E554	687	688	10	1	15
E555	689	687	14	1	21
E556	690	688	9	1	14
E557	688	691	13	1	20
E558	692	693	9	1	14
E559	693	691	19	1	29
E560	567	694	27	1	41
E561	694	692	11	1	17
E562	692	695	10	1	15
E563	695	696	10	1	15
E564	696	697	27	1	41
E565	568	684	9	1	14
E566	684	689	16	1	24
E567	689	690	10	1	15
E568	690	693	10	1	15
E569	693	698	9	1	14
E570	698	699	10	1	15
E571	699	700	9	1	14
E572	700	701	4	1	6
E573	701	702	15	1	23
E574	694	690	10	1	15
E575	691	703	10	1	15
E576	703	704	9	1	14
E577	704	705	10	1	15
E578	705	706	10	1	15
E579	706	707	3	1	5
E580	695	698	10	1	15
E581	698	703	20	1	30
E582	703	708	22	1	33
E583	696	699	10	1	15
E584	699	704	20	1	30
E585	708	709	10	1	15
E586	709	710	9	1	14
E587	700	711	9	1	14
E588	711	705	12	1	18
E589	705	710	22	1	33
E590	710	712	4	1	6
E591	701	713	17	1	26
E592	713	714	26	1	39
E593	711	715	16	1	24
E594	715	716	25	1	38
E595	712	717	10	1	15
E596	717	718	9	1	14
E597	718	719	16	1	24
E598	719	716	9	1	14
E599	716	714	10	1	15
E600	720	718	15	1	23
E601	720	719	15	1	23
E602	707	720	14	1	21
E603	706	717	26	1	39
E606	724	725	64	1	96
E607	726	727	10	1	15
E608	727	728	10	1	15
E609	728	729	10	1	15
E610	729	730	10	1	15
E612	24	732	12	1	18
E613	732	733	10	1	15
