Name:		lavras08
Optimal value:	6038
#Vehicles:	2
Capacity:	5400
Depot Node:	773
#Nodes:		773
#Edges:		832
#Arcs:		328
#Required N:	0
#Required E:	160
#Required A:	4

ReN.	DEMAND	S. COST

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E1	17	18	11	1	17
E2	18	19	11	1	17
E3	19	20	11	1	17
E4	20	21	11	1	17
E5	21	22	11	1	17
E6	22	23	11	1	17
E7	23	24	11	1	17
E8	24	25	11	1	17
E9	25	26	11	1	17
E11	28	29	21	1	32
E12	30	28	37	1	56
E20	39	20	20	1	30
E21	20	40	20	1	30
E22	40	41	20	1	30
E23	41	42	21	1	32
E24	42	43	34	1	51
E25	44	45	12	1	18
E26	45	40	11	1	17
E27	40	46	11	1	17
E28	46	47	12	1	18
E30	50	51	12	1	18
E31	52	53	11	1	17
E32	53	54	13	1	20
E33	29	57	11	1	17
E34	57	58	12	1	18
E35	59	60	7	1	11
E36	60	61	13	1	20
E37	61	62	8	1	12
E38	25	63	21	1	32
E39	63	59	21	1	32
E40	69	51	15	1	23
E41	51	70	11	1	17
E42	70	71	10	1	15
E43	71	72	18	1	27
E48	80	50	21	1	32
E49	50	81	21	1	32
E50	81	26	20	1	30
E52	83	84	8	1	12
E53	84	85	11	1	17
E54	85	41	11	1	17
E55	41	86	11	1	17
E63	94	95	30	1	45
E64	95	57	21	1	32
E65	57	96	21	1	32
E66	96	23	20	1	30
E67	23	97	13	1	20
E68	98	94	2	1	3
E72	101	102	31	1	47
E73	103	104	41	1	62
E74	104	86	21	1	32
E75	105	103	2	1	3
E79	111	112	27	1	41
E80	112	84	20	1	30
E81	84	44	20	1	30
E85	115	116	19	1	29
E86	116	117	4	1	6
E87	117	58	16	1	24
E88	58	118	21	1	32
E89	118	24	20	1	30
E90	24	119	9	1	14
E91	120	115	7	1	11
E94	124	112	7	1	11
E95	112	101	11	1	17
E96	115	62	18	1	27
E97	62	80	12	1	18
E98	80	69	14	1	21
E99	69	54	25	1	38
E134	177	178	33	1	50
E135	179	180	33	1	50
E136	181	182	30	1	45
E137	185	186	33	1	50
E138	186	187	6	1	9
E139	188	189	30	1	45
E140	189	190	13	1	20
E141	191	192	19	1	29
E142	192	193	30	1	45
E143	194	195	7	1	11
E144	195	196	30	1	45
E147	199	200	12	1	18
E152	204	191	10	1	15
E153	205	187	10	1	15
E154	187	206	10	1	15
E155	206	207	10	1	15
E156	207	208	30	1	45
E157	209	178	10	1	15
E158	178	180	10	1	15
E159	180	205	3	1	5
E160	205	186	8	1	12
E161	210	192	10	1	15
E162	192	195	10	1	15
E163	195	181	11	1	17
E164	181	208	10	1	15
E165	208	188	10	1	15
E166	188	211	5	1	8
E385	184	206	39	1	59
E389	485	193	11	1	17
E390	193	196	10	1	15
E391	196	182	11	1	17
E392	182	207	9	1	14
E393	207	189	10	1	15
E394	184	185	10	1	15
E395	185	179	10	1	15
E396	179	177	10	1	15
E397	177	487	10	1	15
E455	58	59	12	1	18
E456	59	50	11	1	17
E457	111	102	12	1	18
E458	102	43	14	1	21
E459	111	593	20	1	30
E460	86	29	11	1	17
E466	25	607	6	1	9
E469	46	21	20	1	30
E470	21	611	20	1	30
E471	612	44	6	1	9
E490	26	629	8	1	12
E502	204	210	20	1	30
E503	210	200	11	1	17
E542	669	670	6	1	9
E543	670	105	8	1	12
E544	105	30	14	1	21
E545	30	98	13	1	20
E546	98	120	11	1	17
E570	129	17	21	1	32
E571	17	681	9	1	14
E572	129	682	12	1	18
E587	70	53	31	1	47
E592	485	200	19	1	29
E623	101	85	21	1	32
E624	85	45	20	1	30
E625	45	19	20	1	30
E626	19	730	21	1	32
E627	101	42	12	1	18
E628	42	104	11	1	17
E629	104	28	11	1	17
E630	28	731	6	1	9
E632	732	669	14	1	21
E661	117	60	15	1	23
E662	47	96	11	1	17
E663	96	118	11	1	17
E664	118	63	12	1	18
E665	63	81	11	1	17
E666	81	71	12	1	18
E667	71	52	27	1	41
E671	44	18	20	1	30
E672	18	682	21	1	32
E673	682	730	11	1	17
E674	730	643	4	1	6
E675	643	39	9	1	14
E676	39	611	11	1	17
E677	611	738	12	1	18
E678	682	128	9	1	14
E679	29	47	20	1	30
E680	47	22	20	1	30
E681	22	738	20	1	30
E729	487	209	33	1	50
E797	767	95	3	1	5
E798	95	116	12	1	18
E799	116	61	11	1	17
E800	731	767	3	1	5
E822	203	204	11	1	17

EDGE	FROM N.	TO N.	T. COST
NrE10	27	17	14
NrE13	31	32	15
NrE14	32	33	15
NrE15	33	34	28
NrE16	34	35	21
NrE17	36	37	28
NrE18	37	38	18
NrE19	38	31	77
NrE29	48	49	34
NrE44	75	76	7
NrE45	76	77	12
NrE46	77	78	11
NrE47	78	79	11
NrE51	82	80	11
NrE56	87	88	7
NrE57	88	89	12
NrE58	89	90	11
NrE59	90	91	11
NrE60	92	77	20
NrE61	77	89	21
NrE62	89	93	21
NrE69	99	76	20
NrE70	76	88	20
NrE71	88	100	21
NrE76	106	107	11
NrE77	108	109	13
NrE78	109	110	7
NrE82	113	75	20
NrE83	75	87	21
NrE84	87	114	21
NrE92	121	122	11
NrE93	122	123	12
NrE100	54	125	12
NrE101	27	127	21
NrE102	130	131	28
NrE103	131	132	7
NrE104	134	135	25
NrE105	142	140	4
NrE106	143	144	9
NrE107	144	145	10
NrE108	145	146	34
NrE109	147	148	15
NrE110	148	149	18
NrE111	150	151	15
NrE112	151	152	16
NrE113	152	153	16
NrE114	148	154	3
NrE115	154	150	5
NrE116	150	155	10
NrE117	155	156	11
NrE118	157	158	6
NrE119	158	149	11
NrE120	149	159	9
NrE121	147	151	7
NrE122	151	160	10
NrE123	161	162	12
NrE124	163	164	19
NrE125	164	165	18
NrE126	166	163	5
NrE127	167	164	11
NrE128	164	168	10
NrE129	169	170	13
NrE130	170	171	13
NrE131	172	173	12
NrE132	173	174	14
NrE133	174	175	14
NrE145	197	198	12
NrE146	198	199	12
NrE148	198	201	28
NrE149	201	202	27
NrE150	122	198	24
NrE151	201	203	12
NrE167	213	202	14
NrE168	202	214	13
NrE169	215	216	7
NrE170	216	217	11
NrE171	217	218	11
NrE172	218	219	12
NrE173	220	221	11
NrE174	221	222	11
NrE175	222	223	19
NrE176	224	225	21
NrE177	225	218	19
NrE178	218	226	14
NrE179	226	227	13
NrE180	232	224	12
NrE181	224	233	11
NrE182	233	234	11
NrE183	234	235	11
NrE184	236	237	8
NrE185	237	225	11
NrE186	225	238	12
NrE187	238	239	11
NrE188	239	240	6
NrE189	241	242	21
NrE190	242	243	20
NrE191	244	245	11
NrE192	245	246	11
NrE193	246	247	21
NrE194	247	241	16
NrE195	248	249	21
NrE196	249	250	20
NrE197	250	251	16
NrE198	252	253	14
NrE199	253	254	14
NrE200	254	255	18
NrE201	255	248	34
NrE202	256	257	21
NrE203	257	258	20
NrE204	258	259	15
NrE205	260	261	11
NrE206	261	262	13
NrE207	262	263	14
NrE208	263	264	20
NrE209	264	256	25
NrE210	265	266	19
NrE211	266	267	16
NrE212	268	252	2
NrE213	252	261	14
NrE214	261	244	28
NrE215	244	222	19
NrE216	222	233	18
NrE217	233	238	21
NrE218	238	219	19
NrE219	270	254	17
NrE220	254	263	14
NrE221	263	246	13
NrE222	246	220	20
NrE223	220	235	17
NrE224	235	271	14
NrE225	271	240	7
NrE226	272	273	18
NrE227	274	275	12
NrE228	278	279	17
NrE229	280	281	17
NrE230	282	283	20
NrE231	284	285	12
NrE232	285	286	6
NrE233	286	287	12
NrE234	288	248	11
NrE235	248	256	11
NrE236	256	241	11
NrE237	289	290	11
NrE238	290	273	3
NrE239	273	274	2
NrE240	274	279	11
NrE241	279	286	12
NrE242	291	292	17
NrE243	292	293	20
NrE244	293	288	21
NrE245	288	294	7
NrE246	293	249	11
NrE247	249	257	11
NrE248	257	242	11
NrE249	242	282	11
NrE250	282	295	11
NrE251	289	272	28
NrE252	272	278	13
NrE253	278	284	11
NrE254	284	299	30
NrE255	304	305	18
NrE256	305	38	8
NrE257	306	307	34
NrE258	67	308	24
NrE259	312	313	17
NrE260	313	314	13
NrE261	314	315	13
NrE262	315	316	12
NrE263	319	320	17
NrE264	322	307	7
NrE265	307	323	13
NrE266	324	312	28
NrE267	325	326	13
NrE268	327	328	15
NrE269	330	331	20
NrE270	332	333	4
NrE271	333	334	20
NrE272	334	313	21
NrE273	313	335	13
NrE274	322	331	12
NrE275	331	339	14
NrE276	342	343	7
NrE277	343	344	21
NrE278	344	306	13
NrE279	345	346	21
NrE280	346	315	21
NrE281	315	347	12
NrE282	347	348	30
NrE283	335	308	2
NrE284	308	349	11
NrE285	349	347	12
NrE286	347	350	12
NrE287	350	351	10
NrE288	351	352	21
NrE289	352	353	12
NrE290	354	355	8
NrE291	355	356	2
NrE292	356	357	5
NrE293	357	358	18
NrE294	358	359	5
NrE295	360	361	8
NrE296	361	362	16
NrE297	362	363	15
NrE298	363	364	15
NrE299	364	354	13
NrE300	365	366	17
NrE301	367	368	2
NrE302	369	367	21
NrE303	374	358	10
NrE304	375	376	17
NrE305	380	381	11
NrE306	382	383	11
NrE307	383	384	12
NrE308	355	368	34
NrE309	368	386	1
NrE310	389	390	14
NrE311	390	391	10
NrE312	392	360	22
NrE313	393	362	30
NrE314	362	375	12
NrE315	375	394	11
NrE316	394	395	5
NrE317	334	400	12
NrE318	400	346	13
NrE319	346	55	13
NrE320	401	376	7
NrE321	376	363	14
NrE322	363	402	26
NrE323	408	401	12
NrE324	401	409	17
NrE325	412	413	53
NrE326	413	414	5
NrE327	414	415	12
NrE328	416	417	20
NrE329	418	419	12
NrE330	420	421	18
NrE331	426	427	20
NrE332	427	266	21
NrE333	266	428	17
NrE334	429	430	16
NrE335	430	426	23
NrE336	320	431	4
NrE337	432	433	29
NrE338	434	432	6
NrE339	435	436	59
NrE340	436	437	13
NrE341	438	439	15
NrE342	440	441	15
NrE343	442	443	12
NrE344	443	444	5
NrE345	431	445	13
NrE346	446	447	20
NrE347	447	438	11
NrE348	441	448	12
NrE349	449	436	11
NrE350	436	450	10
NrE351	450	441	14
NrE352	447	451	14
NrE353	451	452	15
NrE354	452	429	16
NrE355	429	453	16
NrE356	454	439	4
NrE357	439	451	11
NrE358	451	455	20
NrE359	456	457	16
NrE360	459	460	5
NrE361	460	461	8
NrE362	461	462	8
NrE363	463	13	24
NrE364	466	467	16
NrE365	467	468	18
NrE366	469	470	11
NrE367	471	472	14
NrE368	472	473	11
NrE369	474	475	14
NrE370	475	476	7
NrE371	11	477	14
NrE372	477	464	7
NrE373	464	478	5
NrE374	154	158	20
NrE375	158	476	19
NrE376	476	473	29
NrE377	469	481	17
NrE378	481	458	12
NrE379	458	482	15
NrE380	276	275	3
NrE381	275	287	21
NrE382	287	484	10
NrE383	484	281	1
NrE384	126	276	19
NrE386	486	199	20
NrE387	199	203	30
NrE388	203	214	32
NrE398	423	495	11
NrE399	495	372	12
NrE400	497	408	3
NrE401	498	34	9
NrE402	386	499	5
NrE403	499	35	7
NrE404	395	500	4
NrE405	500	501	11
NrE406	501	32	11
NrE407	502	498	4
NrE408	442	503	35
NrE409	509	510	20
NrE410	510	227	23
NrE411	237	217	20
NrE412	285	280	11
NrE413	280	512	11
NrE414	512	513	12
NrE415	281	277	10
NrE416	277	514	2
NrE417	514	511	10
NrE418	511	515	4
NrE419	512	514	18
NrE420	516	259	35
NrE421	259	251	11
NrE422	251	291	12
NrE423	291	517	6
NrE424	423	388	14
NrE425	388	520	11
NrE426	421	521	8
NrE427	521	522	6
NrE428	522	415	12
NrE429	410	318	6
NrE430	540	542	2
NrE431	15	425	50
NrE432	35	551	39
NrE433	565	566	13
NrE434	566	567	13
NrE435	74	565	16
NrE436	570	571	12
NrE437	571	572	11
NrE438	572	573	23
NrE439	570	574	40
NrE440	568	339	19
NrE441	574	576	20
NrE442	482	467	19
NrE443	467	457	16
NrE444	503	470	34
NrE445	470	577	49
NrE446	107	578	27
NrE447	578	579	34
NrE448	532	580	5
NrE449	162	583	12
NrE450	584	578	11
NrE451	585	586	17
NrE452	383	587	21
NrE453	587	585	24
NrE454	588	403	15
NrE461	501	594	33
NrE462	596	597	17
NrE463	598	599	12
NrE464	337	327	23
NrE465	327	595	20
NrE467	440	428	13
NrE468	428	437	7
NrE472	552	613	21
NrE473	455	552	31
NrE474	551	446	2
