Name:		lavras06
Optimal value:	8047
#Vehicles:	2
Capacity:	5400
Depot Node:	674
#Nodes:		674
#Edges:		725
#Arcs:		279
#Required N:	0
#Required E:	210
#Required A:	11

ReN.	DEMAND	S. COST

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E77	95	94	21	1	32
E116	170	171	12	1	18
E117	171	172	20	1	30
E123	178	179	51	1	77
E124	179	180	29	1	44
E125	180	181	6	1	9
E126	181	182	31	1	47
E127	182	183	2	1	3
E128	183	184	4	1	6
E130	186	187	19	1	29
E133	191	192	32	1	48
E139	171	186	12	1	18
E140	186	201	12	1	18
E144	206	201	12	1	18
E145	201	207	20	1	30
E146	207	208	12	1	18
E147	209	179	18	1	27
E148	179	210	16	1	24
E149	210	211	16	1	24
E150	211	212	26	1	39
E158	181	219	20	1	30
E159	219	220	15	1	23
E160	220	221	6	1	9
E161	180	222	16	1	24
E163	225	226	32	1	48
E164	226	227	12	1	18
E165	219	210	40	1	60
E166	210	178	35	1	53
E167	178	228	14	1	21
E168	220	229	19	1	29
E169	229	211	17	1	26
E170	211	230	33	1	50
E175	235	236	11	1	17
E176	236	237	8	1	12
E177	237	238	14	1	21
E178	238	239	18	1	27
E179	239	240	21	1	32
E180	240	233	22	1	33
E185	246	247	19	1	29
E186	247	248	15	1	23
E187	248	249	18	1	27
E188	249	250	15	1	23
E189	250	251	14	1	21
E190	251	252	27	1	41
E191	253	254	15	1	23
E192	254	255	4	1	6
E193	256	253	18	1	27
E194	253	257	19	1	29
E195	257	258	4	1	6
E196	258	259	9	1	14
E197	259	260	26	1	39
E198	260	261	12	1	18
E199	261	238	17	1	26
E200	238	262	16	1	24
E201	262	263	21	1	32
E202	264	265	31	1	47
E203	265	266	40	1	60
E204	266	267	10	1	15
E205	267	237	16	1	24
E206	237	263	26	1	39
E209	271	272	15	1	23
E212	247	278	17	1	26
E213	250	279	42	1	63
E220	248	287	26	1	39
E222	259	291	17	1	26
E223	262	292	17	1	26
E224	292	293	23	1	35
E229	249	298	34	1	51
E230	298	299	17	1	26
E231	300	301	4	1	6
E232	301	265	11	1	17
E233	265	257	16	1	24
E234	302	303	24	1	36
E235	258	304	19	1	29
E237	307	267	10	1	15
E238	267	261	14	1	21
E239	261	308	9	1	14
E273	304	341	27	1	41
E274	343	236	11	1	17
E276	345	346	3	1	5
E277	347	348	8	1	12
E278	320	349	15	1	23
E279	349	350	25	1	38
E280	350	347	13	1	20
E302	369	271	27	1	41
E303	271	278	26	1	39
E304	278	287	17	1	26
E305	287	298	17	1	26
E306	298	279	18	1	27
E307	279	370	18	1	27
E341	244	405	14	1	21
E342	405	406	4	1	6
E343	406	330	17	1	26
E344	330	407	15	1	23
E345	242	408	5	1	8
E346	408	409	31	1	47
E347	409	324	17	1	26
E348	324	410	10	1	15
E349	410	411	10	1	15
E350	411	412	17	1	26
E351	408	413	21	1	32
E352	413	323	35	1	53
E353	323	414	20	1	30
E354	414	415	17	1	26
E355	413	318	39	1	59
E356	318	416	20	1	30
E357	416	417	3	1	5
E358	417	418	12	1	18
E359	418	419	12	1	18
E360	416	414	10	1	15
E361	414	411	10	1	15
E362	411	420	13	1	20
E363	326	421	10	1	15
E364	421	420	10	1	15
E365	420	422	12	1	18
E366	406	423	11	1	17
E367	423	424	10	1	15
E368	424	425	10	1	15
E369	425	426	10	1	15
E370	426	409	11	1	17
E371	332	427	13	1	20
E372	427	405	10	1	15
E373	427	331	12	1	18
E374	423	329	17	1	26
E375	329	428	21	1	32
E376	424	328	17	1	26
E377	328	429	10	1	15
E378	429	430	14	1	21
E379	429	421	17	1	26
E380	421	410	13	1	20
E381	431	407	8	1	12
E382	407	428	11	1	17
E383	428	430	11	1	17
E384	430	422	18	1	27
E385	422	412	16	1	24
E386	412	415	11	1	17
E387	327	425	17	1	26
E388	325	426	17	1	26
E438	443	512	20	1	30
E439	512	184	5	1	8
E440	182	513	8	1	12
E441	513	514	28	1	42
E454	229	521	38	1	57
E461	368	239	30	1	45
E462	239	292	16	1	24
E463	292	527	13	1	20
E464	527	528	25	1	38
E465	528	529	7	1	11
E485	222	540	3	1	5
E486	540	541	18	1	27
E487	541	542	12	1	18
E488	542	317	32	1	48
E489	317	543	12	1	18
E490	543	544	13	1	20
E491	544	545	17	1	26
E500	303	548	16	1	24
E510	227	541	12	1	18
E511	541	208	24	1	36
E512	208	559	21	1	32
E513	172	187	10	1	15
E514	187	207	12	1	18
E515	207	192	12	1	18
E516	192	542	12	1	18
E517	542	226	11	1	17
E518	226	560	11	1	17
E519	561	562	10	1	15
E525	513	568	11	1	17
E527	346	440	8	1	12
E528	349	570	23	1	35
E535	589	590	38	1	57
E536	590	591	3	1	5
E537	591	543	13	1	20
E538	592	593	10	1	15
E539	593	594	3	1	5
E540	594	595	18	1	27
E541	596	597	2	1	3
E542	597	545	30	1	45
E543	418	596	44	1	66
E544	598	599	2	1	3
E545	599	544	18	1	27
E546	417	598	44	1	66
E547	191	600	7	1	11
E548	592	601	22	1	33
E549	595	602	21	1	32
E550	602	603	26	1	39
E551	545	602	16	1	24
E601	95	534	19	1	29
E602	256	264	17	1	26
E603	264	95	7	1	11
E604	254	304	20	1	30
E605	304	291	13	1	20
E606	291	368	21	1	32
E612	528	293	18	1	27
E613	293	240	16	1	24
E614	240	562	16	1	24
E615	562	525	15	1	23
E645	236	307	16	1	24
E646	307	367	9	1	14
E675	433	322	34	1	51
E676	322	659	36	1	54
E678	319	345	53	1	80
E679	662	601	21	1	32
E683	183	512	4	1	6
E684	659	364	12	1	18
E685	364	570	12	1	18
E686	570	350	13	1	20
E687	347	365	28	1	42
E688	365	442	34	1	51
E718	419	592	34	1	51
E722	633	256	20	1	30

EDGE	FROM N.	TO N.	T. COST
NrE1	18	19	15
NrE2	19	20	15
NrE3	20	21	28
NrE4	21	22	21
NrE5	24	25	7
NrE6	25	26	11
NrE7	26	27	11
NrE8	27	28	12
NrE9	29	30	11
NrE10	30	31	11
NrE11	31	32	19
NrE12	33	34	21
NrE13	34	27	19
NrE14	27	35	14
NrE15	35	36	13
NrE16	41	33	12
NrE17	33	42	11
NrE18	42	43	11
NrE19	43	44	11
NrE20	45	46	8
NrE21	46	34	11
NrE22	34	47	12
NrE23	47	48	11
NrE24	48	49	6
NrE25	50	51	21
NrE26	51	52	20
NrE27	53	54	11
NrE28	54	55	11
NrE29	55	56	21
NrE30	56	50	16
NrE31	57	58	21
NrE32	58	59	20
NrE33	59	60	16
NrE34	61	62	14
NrE35	62	63	14
NrE36	63	64	18
