Name:		lavras10
Optimal value:	12197
#Vehicles:	3
Capacity:	5400
Depot Node:	863
#Nodes:		863
#Edges:		859
#Arcs:		400
#Required N:	0
#Required E:	236
#Required A:	43

ReN.	DEMAND	S. COST

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E5	10	11	7	1	11
E6	11	12	12	1	18
E7	12	13	11	1	17
E8	13	14	11	1	17
E9	15	16	7	1	11
E10	16	17	12	1	18
E11	17	18	11	1	17
E12	18	19	11	1	17
E13	20	21	15	1	23
E14	21	12	20	1	30
E15	12	17	21	1	32
E16	17	22	21	1	32
E17	23	24	26	1	39
E18	24	25	20	1	30
E19	26	11	20	1	30
E20	11	16	20	1	30
E21	16	27	21	1	32
E23	30	10	20	1	30
E24	10	15	21	1	32
E25	15	31	21	1	32
E30	46	47	17	1	26
E42	61	62	16	1	24
E43	62	63	11	1	17
E44	64	65	13	1	20
E45	66	36	8	1	12
E46	67	68	11	1	17
E47	69	70	14	1	21
E48	70	45	37	1	56
E49	71	72	10	1	15
E50	72	73	2	1	3
E51	71	62	11	1	17
E52	62	74	22	1	33
E53	74	75	18	1	27
E54	76	71	16	1	24
E58	79	80	17	1	26
E59	80	67	37	1	56
E60	80	70	12	1	18
E61	70	81	12	1	18
E62	81	76	12	1	18
E63	76	82	11	1	17
E64	82	83	8	1	12
E65	63	84	22	1	33
E66	84	85	18	1	27
E67	85	86	7	1	11
E68	87	81	11	1	17
E69	81	63	23	1	35
E71	89	90	14	1	21
E72	90	91	26	1	39
E74	93	94	3	1	5
E75	94	95	16	1	24
E76	95	96	8	1	12
E77	97	98	8	1	12
E78	98	99	17	1	26
E79	99	100	16	1	24
E80	101	102	18	1	27
E81	102	103	8	1	12
E82	103	104	20	1	30
E83	104	105	13	1	20
E84	106	107	4	1	6
E85	107	108	16	1	24
E86	108	109	21	1	32
E87	109	110	10	1	15
E88	111	112	15	1	23
E89	112	113	21	1	32
E90	113	114	15	1	23
E91	114	115	10	1	15
E92	116	117	9	1	14
E93	117	118	21	1	32
E94	118	119	15	1	23
E95	119	120	16	1	24
E96	121	122	13	1	20
E97	122	123	16	1	24
E98	123	124	18	1	27
E99	91	23	12	1	18
E100	23	125	6	1	9
E101	125	101	5	1	8
E102	126	90	6	1	9
E103	90	24	12	1	18
E104	24	103	10	1	15
E105	103	112	12	1	18
E106	112	117	12	1	18
E107	117	108	12	1	18
E108	108	123	11	1	17
E109	123	100	11	1	17
E120	119	139	13	1	20
E204	233	234	19	1	29
E205	234	235	16	1	24
E256	277	278	20	1	30
E257	278	234	21	1	32
E258	234	279	17	1	26
E261	282	283	29	1	44
E262	284	282	6	1	9
E264	286	287	13	1	20
E267	291	292	15	1	23
E272	292	300	12	1	18
E273	301	286	11	1	17
E274	286	302	10	1	15
E275	302	292	14	1	21
E309	353	354	23	1	35
E317	370	371	35	1	53
E319	377	378	16	1	24
E320	378	379	18	1	27
E322	379	395	10	1	15
E323	395	396	19	1	29
E324	397	398	26	1	39
E325	398	399	40	1	60
E326	400	401	12	1	18
E327	401	396	6	1	9
E328	396	378	10	1	15
E333	407	397	21	1	32
E435	563	564	21	1	32
E436	564	565	5	1	8
E437	565	566	7	1	11
E438	566	567	17	1	26
E439	567	568	9	1	14
E440	568	565	12	1	18
E441	569	570	23	1	35
E442	570	571	15	1	23
E443	571	572	2	1	3
E445	574	571	21	1	32
E456	583	584	23	1	35
E476	481	395	17	1	26
E480	468	609	16	1	24
E481	609	398	9	1	14
E482	470	610	13	1	20
E483	610	611	9	1	14
E484	611	432	9	1	14
E494	36	622	11	1	17
E495	622	64	11	1	17
E496	64	85	11	1	17
E497	85	75	11	1	17
E498	75	47	14	1	21
E499	36	68	18	1	27
E500	623	624	12	1	18
E504	291	279	13	1	20
E505	279	287	7	1	11
E506	287	631	4	1	6
E507	601	632	21	1	32
E508	632	633	25	1	38
E543	657	64	8	1	12
E546	27	660	20	1	30
E547	27	22	12	1	18
E548	25	661	5	1	8
E549	30	26	7	1	11
E550	26	21	11	1	17
E551	21	662	11	1	17
E552	662	663	11	1	17
E553	31	27	7	1	11
E554	664	15	7	1	11
E555	665	10	7	1	11
E556	279	302	14	1	21
E560	1	300	33	1	50
E561	98	94	11	1	17
E562	94	676	9	1	14
E563	300	677	17	1	26
E567	687	688	32	1	48
E568	688	689	26	1	39
E569	689	690	5	1	8
E570	584	688	16	1	24
E571	688	691	5	1	8
E572	691	692	12	1	18
E573	692	693	12	1	18
E574	693	694	12	1	18
E575	694	695	12	1	18
E576	695	696	5	1	8
E578	698	695	42	1	63
E579	695	699	28	1	42
E581	700	694	38	1	57
E582	694	702	28	1	42
E584	705	692	37	1	56
E585	692	689	28	1	42
E588	114	119	11	1	17
E594	584	715	22	1	33
E602	723	691	37	1	56
E618	745	699	5	1	8
E619	699	702	12	1	18
E620	702	746	11	1	17
E621	747	25	7	1	11
E624	100	501	4	1	6
E625	100	748	4	1	6
E629	124	135	5	1	8
E630	97	749	9	1	14
E631	750	95	4	1	6
E632	95	99	11	1	17
E633	99	122	11	1	17
E634	122	107	11	1	17
